score_mode	temperature	distance	raw_energy	log_likelihood_like_score	normalized_relative_weight	monotonic_nonincreasing
fdg_flat	0.5	4.0	3.05	-6.1	0.003697863716482932	0
fdg_flat	0.5	4.02	3.079603174603174	-6.159206349206348	0.0034852818975886772	0
fdg_flat	0.5	4.04	3.109212598425197	-6.218425196850394	0.003284879870387704	0
fdg_flat	0.5	4.06	3.1388281249999994	-6.277656249999999	0.0030959630750166177	0
fdg_flat	0.5	4.08	3.168449612403101	-6.336899224806202	0.0029178762913142364	0
fdg_flat	0.5	4.1	3.1980769230769224	-6.396153846153845	0.0027500014331623573	0
fdg_flat	0.5	4.12	3.2277099236641225	-6.455419847328245	0.0025917554645364903	0
fdg_flat	0.5	4.14	3.2573484848484844	-6.514696969696969	0.0024425884307265515	0
fdg_flat	0.5	4.16	3.286992481203008	-6.573984962406016	0.0023019815985218916	0
fdg_flat	0.5	4.18	3.3166417910447756	-6.633283582089551	0.002169445699475047	0
fdg_flat	0.5	4.199999999999999	3.346296296296295	-6.69259259259259	0.0020445192706625226	0
fdg_flat	0.5	4.22	3.3759558823529408	-6.7519117647058815	0.0019267670876513803	0
fdg_flat	0.5	4.239999999999999	3.405620437956203	-6.811240875912406	0.0018157786846562938	0
fdg_flat	0.5	4.26	3.4352898550724635	-6.870579710144927	0.001711166957134559	0
fdg_flat	0.5	4.279999999999999	3.4649640287769774	-6.929928057553955	0.0016125668423167374	0
fdg_flat	0.5	4.3	3.494642857142857	-6.989285714285714	0.001519634073407992	0
fdg_flat	0.5	4.319999999999999	3.5243262411347507	-7.048652482269501	0.0014320440034214974	0
fdg_flat	0.5	4.34	3.5540140845070423	-7.1080281690140845	0.0013494904948196046	0
fdg_flat	0.5	4.359999999999999	3.583706293706293	-7.167412587412586	0.0012716848713427151	0
fdg_flat	0.5	4.38	3.6134027777777775	-7.226805555555555	0.0011983549285990646	0
fdg_flat	0.5	4.3999999999999995	3.6431034482758613	-7.286206896551723	0.0011292440001727374	0
fdg_flat	0.5	4.42	3.672808219178082	-7.345616438356164	0.0010641100761813135	0
fdg_flat	0.5	4.4399999999999995	3.7025170068027204	-7.405034013605441	0.0010027249713802319	0
fdg_flat	0.5	4.46	3.7322297297297298	-7.4644594594594595	0.0009448735400676541	0
fdg_flat	0.5	4.4799999999999995	3.7619463087248315	-7.523892617449663	0.0008903529351925578	0
fdg_flat	0.5	4.5	3.7916666666666665	-7.583333333333333	0.0008389719092096418	0
fdg_flat	0.5	4.52	3.8213907284768207	-7.642781456953641	0.000790550154358443	0
fdg_flat	0.5	4.54	3.8511184210526315	-7.702236842105263	0.0007449176801705495	0
fdg_flat	0.5	4.56	3.8808496732026136	-7.761699346405227	0.0007019142261288986	0
fdg_flat	0.5	4.58	3.910584415584416	-7.821168831168832	0.0006613887075166647	0
fdg_flat	0.5	4.6	3.940322580645161	-7.880645161290322	0.0006231986926009437	0
fdg_flat	0.5	4.62	3.970064102564103	-7.940128205128206	0.0005872099093982128	0
fdg_flat	0.5	4.64	3.9998089171974516	-7.999617834394903	0.0005532957803651045	0
fdg_flat	0.5	4.66	4.029556962025317	-8.059113924050633	0.0005213369834491903	0
fdg_flat	0.5	4.68	4.059308176100629	-8.118616352201258	0.0004912210380209718	0
fdg_flat	0.5	4.7	4.089062500000001	-8.178125000000001	0.0004628419142898967	0
fdg_flat	0.5	4.72	4.118819875776397	-8.237639751552795	0.00043609966488464773	0
fdg_flat	0.5	4.739999999999999	4.148580246913579	-8.297160493827159	0.00041090007735100837	0
fdg_flat	0.5	4.76	4.178343558282208	-8.356687116564416	0.00038715434638986017	0
fdg_flat	0.5	4.779999999999999	4.20810975609756	-8.41621951219512	0.0003647787647232476	0
fdg_flat	0.5	4.8	4.237878787878787	-8.475757575757575	0.0003436944315383174	0
fdg_flat	0.5	4.819999999999999	4.2676506024096375	-8.535301204819275	0.0003238269775174527	0
fdg_flat	0.5	4.84	4.297425149700598	-8.594850299401196	0.0003051063055181798	0
fdg_flat	0.5	4.859999999999999	4.3272023809523805	-8.654404761904761	0.0002874663460187323	0
fdg_flat	0.5	4.88	4.35698224852071	-8.71396449704142	0.0002708448264945217	0
fdg_flat	0.5	4.8999999999999995	4.386764705882353	-8.773529411764706	0.000255183053937484	0
fdg_flat	0.5	4.92	4.416549707602339	-8.833099415204678	0.00024042570977436816	0
fdg_flat	0.5	4.9399999999999995	4.446337209302325	-8.89267441860465	0.00022652065648173924	0
fdg_flat	0.5	4.96	4.476127167630057	-8.952254335260115	0.0002134187552348394	0
fdg_flat	0.5	4.9799999999999995	4.5059195402298835	-9.011839080459767	0.00020107369396468437	0
fdg_flat	0.5	5.0	4.535714285714286	-9.071428571428571	0.00018944182523289424	0
fdg_flat	1.0	0.0	0.25	-0.25	1.0	0
fdg_flat	1.0	1e-12	0.24999999999900002	-0.24999999999900002	1.000000000001	0
fdg_flat	1.0	1e-09	0.24999999899999997	-0.24999999899999997	1.000000001	0
fdg_flat	1.0	1e-06	0.24999900000100003	-0.24999900000100003	1.0000009999994999	0
fdg_flat	1.0	0.0001	0.24990001	-0.24990001	1.0000999949991667	0
fdg_flat	1.0	0.01	0.24009999999999998	-0.24009999999999998	1.0099491671175422	0
fdg_flat	1.0	0.05	0.2025	-0.2025	1.0486462011212851	0
fdg_flat	1.0	0.1	0.16000000000000003	-0.16000000000000003	1.0941742837052104	0
fdg_flat	1.0	0.12000000000000001	0.1444	-0.1444	1.11137723668982	0
fdg_flat	1.0	0.14	0.1296	-0.1296	1.1279479405317834	0
fdg_flat	1.0	0.16	0.11559999999999998	-0.11559999999999998	1.1438502682561278	0
fdg_flat	1.0	0.18	0.1024	-0.1024	1.1590491839530936	0
fdg_flat	1.0	0.2	0.09	-0.09	1.1735108709918103	0
fdg_flat	1.0	0.22	0.07840000000000001	-0.07840000000000001	1.1872028570821795	0
fdg_flat	1.0	0.24000000000000002	0.06760000000000001	-0.06760000000000001	1.2000941355393528	0
fdg_flat	1.0	0.26	0.0576	-0.0576	1.2121552821182537	0
fdg_flat	1.0	0.28	0.04839999999999999	-0.04839999999999999	1.2233585668029012	0
fdg_flat	1.0	0.30000000000000004	0.03999999999999998	-0.03999999999999998	1.2336780599567432	0
fdg_flat	1.0	0.32	0.0324	-0.0324	1.2430897322657162	0
fdg_flat	1.0	0.33999999999999997	0.02560000000000001	-0.02560000000000001	1.2515715479351612	0
fdg_flat	1.0	0.36	0.019600000000000003	-0.019600000000000003	1.259103550634877	0
fdg_flat	1.0	0.38	0.0144	-0.0144	1.2656679417232535	0
fdg_flat	1.0	0.4	0.009999999999999995	-0.009999999999999995	1.2712491503214047	0
fdg_flat	1.0	0.42000000000000004	0.006399999999999993	-0.006399999999999993	1.2758338948511923	0
fdg_flat	1.0	0.44000000000000006	0.003599999999999993	-0.003599999999999993	1.2794112356967637	0
fdg_flat	1.0	0.45999999999999996	0.001600000000000003	-0.001600000000000003	1.2819726186973637	0
fdg_flat	1.0	0.48	0.0004000000000000007	-0.0004000000000000007	1.2835119092294047	0
