condition_id	diagram	generator_family	homolog_separation	contacts_per_cell	cis_fraction	background_fraction	resolution_bp	chromosome_count	chromosome_length_bins	readchain_length	molecule_count	count_overdispersion	anchor_fraction	base_seed	replicate_seeds	replicates	grid_policy	grid_stage	truth_used_in_inference	likelihood_match_status
contacts_x_homolog_separation__model_mismatched__d300__sep0.75__cis0.65__bg0.05__a0__r2__m0	contacts_x_homolog_separation	model_mismatched	0.75	300	0.65	0.05	1000000	3	10	2	0	0.2	0.0	17	4108247805,4108248814,4108249823	3	scientific_slices_not_cartesian	coarse	none	MISMATCHED_OR_MOLECULE_COMPOSITE
contacts_x_homolog_separation__model_mismatched__d300__sep2__cis0.65__bg0.05__a0__r2__m0	contacts_x_homolog_separation	model_mismatched	2.0	300	0.65	0.05	1000000	3	10	2	0	0.2	0.0	17	1888923174,1888924183,1888925192	3	scientific_slices_not_cartesian	coarse	none	MISMATCHED_OR_MOLECULE_COMPOSITE
contacts_x_homolog_separation__model_mismatched__d900__sep0.1__cis0.65__bg0.05__a0__r2__m0	contacts_x_homolog_separation	model_mismatched	0.1	900	0.65	0.05	1000000	3	10	2	0	0.2	0.0	17	421792190,421793199,421794208	3	scientific_slices_not_cartesian	coarse	none	MISMATCHED_OR_MOLECULE_COMPOSITE
contacts_x_homolog_separation__model_mismatched__d900__sep0.75__cis0.65__bg0.05__a0__r2__m0	contacts_x_homolog_separation	model_mismatched	0.75	900	0.65	0.05	1000000	3	10	2	0	0.2	0.0	17	2635326702,2635327711,2635328720	3	scientific_slices_not_cartesian	coarse	none	MISMATCHED_OR_MOLECULE_COMPOSITE
contacts_x_homolog_separation__model_mismatched__d900__sep2__cis0.65__bg0.05__a0__r2__m0	contacts_x_homolog_separation	model_mismatched	2.0	900	0.65	0.05	1000000	3	10	2	0	0.2	0.0	17	2722052601,2722053610,2722054619	3	scientific_slices_not_cartesian	coarse	none	MISMATCHED_OR_MOLECULE_COMPOSITE
contacts_x_homolog_separation__model_mismatched__d3000__sep0.1__cis0.65__bg0.05__a0__r2__m0	contacts_x_homolog_separation	model_mismatched	0.1	3000	0.65	0.05	1000000	3	10	2	0	0.2	0.0	17	2132713325,2132714334,2132715343	3	scientific_slices_not_cartesian	coarse	none	MISMATCHED_OR_MOLECULE_COMPOSITE
contacts_x_homolog_separation__model_mismatched__d3000__sep0.75__cis0.65__bg0.05__a0__r2__m0	contacts_x_homolog_separation	model_mismatched	0.75	3000	0.65	0.05	1000000	3	10	2	0	0.2	0.0	17	4135083493,4135084502,4135085511	3	scientific_slices_not_cartesian	coarse	none	MISMATCHED_OR_MOLECULE_COMPOSITE
contacts_x_homolog_separation__model_mismatched__d3000__sep2__cis0.65__bg0.05__a0__r2__m0	contacts_x_homolog_separation	model_mismatched	2.0	3000	0.65	0.05	1000000	3	10	2	0	0.2	0.0	17	2495688142,2495689151,2495690160	3	scientific_slices_not_cartesian	coarse	none	MISMATCHED_OR_MOLECULE_COMPOSITE
contacts_x_homolog_separation__model_mismatched__d12000__sep0.1__cis0.65__bg0.05__a0__r2__m0	contacts_x_homolog_separation	model_mismatched	0.1	12000	0.65	0.05	1000000	3	10	2	0	0.2	0.0	17	3706159829,3706160838,3706161847	3	scientific_slices_not_cartesian	coarse	none	MISMATCHED_OR_MOLECULE_COMPOSITE
contacts_x_homolog_separation__model_mismatched__d12000__sep0.75__cis0.65__bg0.05__a0__r2__m0	contacts_x_homolog_separation	model_mismatched	0.75	12000	0.65	0.05	1000000	3	10	2	0	0.2	0.0	17	500971208,500972217,500973226	3	scientific_slices_not_cartesian	coarse	none	MISMATCHED_OR_MOLECULE_COMPOSITE
contacts_x_homolog_separation__model_mismatched__d12000__sep2__cis0.65__bg0.05__a0__r2__m0	contacts_x_homolog_separation	model_mismatched	2.0	12000	0.65	0.05	1000000	3	10	2	0	0.2	0.0	17	3900013587,3900014596,3900015605	3	scientific_slices_not_cartesian	coarse	none	MISMATCHED_OR_MOLECULE_COMPOSITE
contacts_x_homolog_separation__model_mismatched__d1500__sep1.25__cis0.65__bg0.05__a0__r2__m0	contacts_x_homolog_separation	model_mismatched	1.25	1500	0.65	0.05	1000000	3	10	2	0	0.2	0.0	17	1327544730,1327545739,1327546748	3	scientific_slices_not_cartesian	transition_refinement	none	MISMATCHED_OR_MOLECULE_COMPOSITE
contacts_x_homolog_separation__model_mismatched__d1500__sep1.6__cis0.65__bg0.05__a0__r2__m0	contacts_x_homolog_separation	model_mismatched	1.6	1500	0.65	0.05	1000000	3	10	2	0	0.2	0.0	17	1557671831,1557672840,1557673849	3	scientific_slices_not_cartesian	transition_refinement	none	MISMATCHED_OR_MOLECULE_COMPOSITE
contacts_x_homolog_separation__model_mismatched__d6000__sep1.25__cis0.65__bg0.05__a0__r2__m0	contacts_x_homolog_separation	model_mismatched	1.25	6000	0.65	0.05	1000000	3	10	2	0	0.2	0.0	17	3571452449,3571453458,3571454467	3	scientific_slices_not_cartesian	transition_refinement	none	MISMATCHED_OR_MOLECULE_COMPOSITE
